Year,YALE.SPCOMP - S&P Composite,YALE.SPCOMP - Dividend,YALE.SPCOMP - Earnings,YALE.SPCOMP - CPI,YALE.SPCOMP - Long Interest Rate,YALE.SPCOMP - Real Price,YALE.SPCOMP - Real Dividend,YALE.SPCOMP - Real Earnings,YALE.SPCOMP - Cyclically Adjusted PE Ratio
1883-12-31,5.34,0.33,0.4,9.229089256,3.6208333333333,137.56789535594,8.501386791659,10.304711262617001,14.896403941887
1884-01-31,5.18,0.3283,0.3925,9.229089256,3.62,133.44601085089,8.457591768792799,10.111497926443,14.432821721970999
1884-02-29,5.32,0.3267,0.385,9.229089256,3.6116666666667,137.05265979281,8.4163729237424,9.9182845902688,14.805960228817
1884-03-31,5.3,0.325,0.3775,9.229089256,3.6033333333332997,136.53742422967,8.3725779008762,9.725071254094699,14.736023454014001
1884-04-30,5.06,0.3233,0.37,9.038839669,3.595,133.09830233255,8.5040871826311,9.732484557913699,14.353453682579
1884-05-31,4.65,0.3217,0.3625,8.848509091,3.5866666666667,124.94461226518999,8.644017584024,9.7403057948669,13.465050313805001
1884-06-30,4.46,0.32,0.355,8.848509091,3.5783333333333,119.83934853821998,8.5983389085722,9.5387822266973,12.906876483666998
1884-07-31,4.46,0.3183,0.3475,8.753424792999999,3.57,121.14110648988,8.6455637210157,9.4386848666445,13.043931585992
1884-08-31,4.74,0.3167,0.34,8.753424792999999,3.5616666666667003,128.74637774933998,8.6021050281045,9.234972243623401,13.859813341769
1884-09-30,4.59,0.315,0.3325,8.658259504,3.5533333333333,126.04243058271001,8.6499707262643,9.1305246555012,13.569154744336
1884-10-31,4.44,0.3133,0.325,8.563094215,3.545,123.27838319831001,8.698900327934801,9.023755526903301,13.273251319134
1884-11-30,4.35,0.3117,0.3175,8.372844628,3.5366666666667004,123.52387491358999,8.851124554153099,9.0158230540379,13.304437602119998
1884-12-31,4.34,0.31,0.31,8.277679339,3.5283333333332996,124.65675375203001,8.904053839430802,8.904053839430802,13.432292746945
1885-01-31,4.24,0.3042,0.3067,8.277679339,3.52,121.78447831996,8.7374618643705,8.8092687501723,13.129817425636
1885-02-28,4.37,0.2983,0.3033,8.372844628,3.5075,124.09180077526001,8.4706142268331,8.612595692251,13.384817593598001
1885-03-31,4.38,0.2925,0.3,8.18251405,3.495,127.2688245491,8.499116707902301,8.717042777335699,13.734194093453
1885-04-30,4.37,0.2867,0.2967,8.277679339,3.4825,125.51843638165,8.2348136637575,8.5220412069649,13.54854854103
1885-05-31,4.32,0.2808,0.2933,8.087381157000001,3.47,127.00198742469,8.2551291826049,8.622611785106901,13.711371872562001
1885-06-30,4.3,0.275,0.29,7.8970910739999995,3.4575,129.46011580972998,8.279426011087201,8.731031066237401,13.978784368698001
1885-07-31,4.46,0.2692,0.2867,7.992232066000001,3.445,132.67877562153,8.008324304330799,8.5289248813211,14.326658777089
1885-08-31,4.71,0.2633,0.2833,7.992232066000001,3.4325,140.11592672139,7.8328075383741,8.427779626363,15.130410796707
1885-09-30,4.65,0.2575,0.28,7.8970910739999995,3.42,139.99756709657,7.7525534467453,8.4299610294706,15.116285028724
