Date,Country,Composite Leading Index
1990-01-01,Switzerland,101.3662
2006-01-01,France,99.88977
1960-01-01,Ireland,
1960-01-01,Indonesia,
1964-01-01,Slovak Republic,
1982-01-01,France,99.73111
2014-01-01,United States,99.9373
2007-01-01,Denmark,101.6726
2011-01-01,Czech Republic,98.64607
1999-01-01,Italy,100.7674
1968-01-01,Chile,
1973-01-01,Austria,99.21106
1963-01-01,Denmark,
2014-01-01,New Zealand,99.85905
2009-01-01,Belgium,100.9978
2013-01-01,Luxembourg,99.77433
1978-01-01,Luxembourg,
1973-01-01,Israel,
2008-01-01,France,101.3382
1992-01-01,South Africa,98.91541
1982-01-01,Netherlands,98.943
2010-01-01,United Kingdom,95.62033
2015-01-01,Germany,101.157
1958-01-01,Norway,
2011-01-01,Mexico,100.9339
1985-01-01,Portugal,98.1976
2015-01-01,New Zealand,101.4842
1995-01-01,Korea,100.7493
2008-01-01,Switzerland,102.4359
1959-01-01,Japan,
1991-01-01,Norway,100.6654
2005-01-01,Italy,99.68172
1965-01-01,Ireland,
2008-01-01,Chile,101.4133
1976-01-01,People's Republic of China.: Mainland,
1968-01-01,Russia,
1983-01-01,Turkey,
2012-01-01,Korea,100.8456
1978-01-01,Chile,
1957-01-01,Greece,
1989-01-01,Denmark,99.46652
1980-01-01,Switzerland,99.49066
1969-01-01,Luxembourg,
1998-01-01,Slovak Republic,103.9049
1982-01-01,Indonesia,
1968-01-01,Sweden,
2013-01-01,Korea,98.4656
1993-01-01,Spain,100.7105
1976-01-01,Norway,99.08427
1993-01-01,Belgium,100.4855
1957-01-01,People's Republic of China.: Mainland,
1991-01-01,Spain,102.1206
2011-01-01,Australia,100.0479
1976-01-01,Russia,
1987-01-01,Canada,100.6041
2013-01-01,United Kingdom,98.62365
1979-01-01,Slovenia,
2006-01-01,Switzerland,99.38972
2009-01-01,Austria,100.9687
1973-01-01,Netherlands,98.16678
2005-01-01,Korea,100.2339
2002-01-01,Slovenia,102.208
1976-01-01,Chile,
1985-01-01,Luxembourg,
2013-01-01,Brazil,100.208
2009-01-01,Brazil,103.9765
1969-01-01,Germany,99.67545
1986-01-01,Switzerland,100.5723
2012-01-01,Canada,100.8554
2015-01-01,Luxembourg,
1999-01-01,Denmark,100.9946
1998-01-01,Finland,100.8291
1983-01-01,Brazil,
1980-01-01,Indonesia,
1994-01-01,New Zealand,100.622
1983-01-01,Norway,99.46489
1966-01-01,Italy,95.80803
2007-01-01,Mexico,100.767
1964-01-01,South Africa,
2013-01-01,Canada,99.83609
1998-01-01,Spain,99.7739
1966-01-01,Indonesia,
1980-01-01,Austria,100.6279
2009-01-01,France,101.1331
1999-01-01,South Africa,99.83951
2004-01-01,Czech Republic,98.72194
1987-01-01,Austria,100.0746
1956-01-01,Portugal,
1979-01-01,Canada,100.9278
2011-01-01,Poland,99.44811
1969-01-01,India,
1978-01-01,Norway,100.3106
1995-01-01,Belgium,99.47472
1981-01-01,Australia,101.2138
1971-01-01,Portugal,
1998-01-01,Canada,100.379
1977-01-01,Korea,
2014-01-01,Greece,97.09109
1972-01-01,Finland,
1980-01-01,Netherlands,101.4812
1994-01-01,Russia,104.5258
1974-01-01,France,101.6507
1971-01-01,Chile,
1959-01-01,United States,97.05375
1974-01-01,Brazil,
2005-01-01,Portugal,98.70389
2001-01-01,Slovak Republic,97.6382
1981-01-01,Netherlands,101.7573
1992-01-01,Austria,101.255
1979-01-01,Netherlands,99.65556
1990-01-01,United States,100.5247
2002-01-01,Ireland,102.4281
1965-01-01,Denmark,
1959-01-01,South Africa,
1957-01-01,United States,101.9785
1957-01-01,Japan,
1976-01-01,Hungary,
1962-01-01,Denmark,
1972-01-01,Sweden,99.22013
2002-01-01,Korea,98.39714
1965-01-01,People's Republic of China.: Mainland,
1977-01-01,Brazil,
1992-01-01,Japan,100.6699
1977-01-01,Canada,100.4249
2004-01-01,Portugal,97.82211
1986-01-01,Netherlands,100.969
1985-01-01,Finland,
1970-01-01,Japan,99.85706
1989-01-01,Korea,
1969-01-01,Netherlands,99.38719
1972-01-01,Japan,97.94759
2012-01-01,Switzerland,102.3003
2013-01-01,Estonia,104.1522
1956-01-01,Korea,
2010-01-01,Russia,91.83397
1999-01-01,United States,100.8269
2012-01-01,Netherlands,101.7922
1994-01-01,Korea,97.78334
1972-01-01,Estonia,
1971-01-01,Slovenia,
1977-01-01,France,100.2894
1988-01-01,Slovenia,
2013-01-01,Switzerland,98.81486
2012-01-01,Estonia,104.9529
1971-01-01,Korea,
1964-01-01,Spain,
1999-01-01,Indonesia,99.41932
1987-01-01,Estonia,
1964-01-01,People's Republic of China.: Mainland,
1967-01-01,Denmark,
1971-01-01,Estonia,
1970-01-01,Mexico,
2005-01-01,Indonesia,101.3779
1994-01-01,United States,100.0433
1991-01-01,Israel,
1994-01-01,Japan,97.62435
2015-01-01,Finland,100.2367
1964-01-01,Chile,
1976-01-01,Switzerland,96.23719
1973-01-01,India,
1975-01-01,India,
1966-01-01,Denmark,
1961-01-01,Chile,
1956-01-01,Switzerland,
1963-01-01,Austria,
1992-01-01,Chile,
1958-01-01,Portugal,
1972-01-01,Israel,
1962-01-01,Italy,
1992-01-01,Korea,98.31839
1998-01-01,Belgium,99.85175
1967-01-01,Slovak Republic,
1981-01-01,Slovenia,
1980-01-01,Brazil,
1981-01-01,Poland,
1956-01-01,Russia,
1990-01-01,Finland,102.953
1988-01-01,People's Republic of China.: Mainland,
1965-01-01,Austria,100.2711
1976-01-01,Estonia,
1963-01-01,Germany,99.34647
1984-01-01,Spain,99.55023
1976-01-01,Indonesia,
2004-01-01,Finland,98.44951
2007-01-01,Turkey,101.3024
2002-01-01,Israel,101.6611
1982-01-01,Slovenia,
1985-01-01,New Zealand,
1990-01-01,People's Republic of China.: Mainland,
1956-01-01,Ireland,
1965-01-01,India,
1994-01-01,Portugal,97.0836
2006-01-01,Ireland,98.24411
2014-01-01,Austria,99.46173
1990-01-01,Ireland,102.4103
1992-01-01,Brazil,100.0882
1956-01-01,Greece,
2014-01-01,Finland,98.35338
2005-01-01,Sweden,98.46181
1999-01-01,Sweden,101.0344
2015-01-01,Netherlands,100.0269
1973-01-01,Hungary,
1991-01-01,Slovenia,
1986-01-01,Brazil,
2011-01-01,Portugal,100.259
1965-01-01,Russia,
2002-01-01,Russia,101.8845
1957-01-01,Finland,
1964-01-01,Austria,
2014-01-01,Italy,98.11436
2008-01-01,Ireland,104.361
